type,properties/name,properties/web_address,properties/image,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,1.8950749,47.8938511
Feature,Tokyo City University,https://www.tcu.ac.jp/,https://logo.clearbit.com/tcu.ac.jp?size=40,Point,139.651060207089,35.5981127
Feature,Ghent University,https://www.ugent.be/en,https://logo.clearbit.com/ugent.be?size=40,Point,3.7272675,51.0479866
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,4.019695,49.256947
Feature,Datahack Training SLU - Spain,https://www.datahack.es/,https://logo.clearbit.com/datahack.es?size=40,Point,-6.0012613,37.37807
Feature,Waukesha County Technical College,https://www.wctc.edu/,https://logo.clearbit.com/my.wctc.edu?size=40,Point,-88.253425,43.076089
Feature,National Technological University (Argentina),https://www.utn.edu.ar/es/,https://logo.clearbit.com/frba.utn.edu.ar?size=40,Point,-58.3729914070742,-34.604629
Feature,Deakin University,https://www.deakin.edu.au/,https://logo.clearbit.com/deakin.edu.au?size=40,Point,145.115006214167,-37.84721815
Feature,Hood College,https://www.hood.edu/,https://logo.clearbit.com/hood.edu?size=40,Point,-77.4189170726406,39.4229618
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,7.7645161,48.5741362
Feature,Connect Foundation,https://connect.or.kr/,https://logo.clearbit.com/connect.or.kr?size=40,Point,127.07179115545,37.4958002
Feature,SMK Muhammadiyah 2 Banjarsari,https://www.smkm2banjarsari.sch.id/,https://logo.clearbit.com/smkm2banjarsari.sch.id?size=40,Point,110.167112684343,-7.6987389
Feature,SBW Haus des Lernens AG | Neue Medien,https://www.sbw-media.ch/,https://logo.clearbit.com/sbw-media.ch?size=40,Point,9.3806318,47.5677694
Feature,"Code Academy, Azerbaijan",https://code.edu.az/,https://logo.clearbit.com/code.edu.az?size=40,Point,49.8540065,40.3772147
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,1.4306293,43.5974736
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,3.01846766592415,50.6329354
Feature,Dokuz Eylül University,https://www.deu.edu.tr/,https://logo.clearbit.com/deu.edu.tr?size=40,Point,27.144474,38.4153421
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,0.6691059,47.3931929
Feature,Datahack Training SLU - Spain,https://www.datahack.es/,https://logo.clearbit.com/datahack.es?size=40,Point,-71.6023286,-33.5454914
Feature,Bob Jones University,https://www.bju.edu/,https://logo.clearbit.com/students.bju.edu?size=40,Point,-82.3676756,34.8729127
Feature,University of New Hampshire,https://www.unh.edu/,https://logo.clearbit.com/wildcats.unh.edu?size=40,Point,-70.9331775091221,43.1375484698261
Feature,University of New South Wales,https://www.unsw.edu.au/,https://logo.clearbit.com/student.unsw.edu.au?size=40,Point,149.1542027,-35.296662
Feature,University of New South Wales,https://www.unsw.edu.au/,https://logo.clearbit.com/student.unsw.edu.au?size=40,Point,151.2213032,-33.8836397
Feature,University of New South Wales,https://www.unsw.edu.au/,https://logo.clearbit.com/student.unsw.edu.au?size=40,Point,151.2164539,-33.8548157
